id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
1,50,'no checking',good,2319,'existing paid',21,'>=7',2,0.23989842777752712,0.6142302018934074,1.309658620718343,0.9764457258298487,0.7099717158709831,0.5697096284579046,0.950835109641912,0.5814581661187909,0.7804830712277541,0.4830156960181764,yes,own,4,skilled,1,none,none,none,'male single','real estate',furniture/equipment,2,'<100'
2,30,'no checking',good,1163,'delayed previously',15,'4<=X<7',2,0.5211385637511932,0.7904715389864543,1.4527370091155807,1.2002287421218578,1.2028825450168799,0.9574877915657322,0.5149710390177196,1.1799690712087871,1.138019206238886,0.327573296145952,yes,own,3,skilled,1,none,none,none,'female div/dep/mar','life insurance',furniture/equipment,2,'>=1000'
3,32,'no checking',good,1502,'critical/other existing credit',10,'>=7',2,0.286838158882139,0.5417555294704949,0.9573404274735577,0.8559037808774085,0.5442960924239839,1.1403187777864612,1.0389058783350626,1.497293446312944,1.1305362428094479,0.481873666828056,no,own,3,'unskilled resident',2,none,none,none,'male single','real estate','new car',4,'<100'
4,34,'no checking',good,4436,'delayed previously',36,'1<=X<4',2,0.4309368280956844,0.5311403606784251,0.9418301941918488,1.1636469774989657,1.170489901432935,1.3391949902939593,0.9793204500539363,0.532072009401283,1.0846282089679264,0.6302837691466184,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','real estate',radio/tv,4,'<100'
5,21,'no checking',good,10155,'existing paid',60,'4<=X<7',1,0.4396429706483862,0.602667186372227,1.1085559485291916,0.7637944667542788,1.0253250104225196,0.6335427351165055,0.8455095824426933,1.0399547756789131,1.256198959079269,0.5180122582787501,yes,own,2,skilled,1,none,none,yes,'female div/dep/mar','real estate',radio/tv,4,'100<=X<500'
6,25,'no checking',good,3413,'existing paid',24,'<1',2,0.42968421074413254,0.5865259345580647,0.6337628514609865,1.0358216716669848,0.6602740438539859,0.7922283093804761,0.9518953169873147,1.334638739113894,0.7688937430428495,0.4012515682870067,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,2,'no known savings'
7,36,'0<=X<200',good,2235,'existing paid',24,'>=7',1,0.33862466020924115,0.584340922440606,0.6915839411808652,1.1989051699234454,1.4302049126460121,0.716408787631709,1.1102038126944513,1.54712157734911,1.4094250257011682,0.632783187158175,yes,'for free',4,skilled,1,none,bank,yes,'male single','no known property','used car',4,'no known savings'
8,25,'<0',good,3555,'existing paid',18,'4<=X<7',1,0.6338435938940526,0.49386134256846764,1.161880675351671,1.3967788040148865,1.5081452467531085,0.43900189511459636,0.5441519146734323,0.5797316573982862,1.1519942898523539,0.4071958234730614,yes,own,4,skilled,1,guarantor,none,none,'female div/dep/mar','real estate',radio/tv,1,'<100'
9,21,'no checking',good,1805,'existing paid',6,'1<=X<4',1,0.6017773784871936,0.46768578467542465,1.1093127619832877,1.2428051566299072,1.206597357259525,0.9758469474545457,1.2551875410030129,1.5276513139224601,1.352436396554801,0.6103635107084172,yes,rent,1,skilled,1,none,none,none,'male mar/wid','life insurance',furniture/equipment,2,'<100'
10,36,'0<=X<200',good,2756,'critical/other existing credit',36,'>=7',1,0.5525753251076186,0.5693466769830854,1.12941803222807,0.3571050071852506,1.5477721495417778,1.4042494076492702,0.8431653749874355,1.3171884695869864,0.9676421233854064,0.48743557180774155,yes,own,4,skilled,1,none,none,none,'male single','real estate',radio/tv,4,'<100'
11,32,'no checking',good,1617,'existing paid',18,'1<=X<4',1,0.6256256822423116,0.6444913934846904,0.9380177437485179,0.9853227937719738,1.344273811303322,1.0543493146445315,1.3292473540409282,1.4074691405184625,1.145104108852041,0.5814519446178084,yes,'for free',4,'high qualif/self emp/mgmt',1,none,none,yes,'male single','no known property',radio/tv,2,'<100'
12,44,'no checking',bad,5969,'existing paid',24,'<1',2,0.3306411513063185,0.7423140403804459,1.3820828584518683,0.5629920677250451,1.1360053488159112,1.2501679822592622,1.4629103257432599,1.01491483815437,1.3351732463354373,0.37121234039461326,yes,own,1,skilled,1,none,none,yes,'female div/dep/mar',car,radio/tv,1,'no known savings'
